"batch_size","best_epoch","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"64","17","0.42","0.4","64","250","256","[512, 256, 1024, 128]","2.8e-05","0.5281612277030945","0.750805139541626","0.12628675997257233","0.8664901256561279"
"512","29","0.34","0.11","64","250","64","[512, 128, 256]","0.0006839999999999999","0.5562851428985596","0.8802372217178345","0.10611376166343689","0.938209593296051"
"64","8","0.06","0.35000000000000003","32","250","256","[256, 512, 128, 1024]","0.00038899999999999997","0.5593631267547607","0.7545615434646606","0.13147634267807007","0.8686550259590149"
"256","47","0.11","0.17","256","250","128","[64, 128, 512, 256]","0.000803","0.5199525952339172","0.7386730313301086","0.1138898953795433","0.8594608902931213"
"128","34","0.35000000000000003","0.1","128","250","64","[64, 256]","0.00039","0.517598032951355","0.768149197101593","0.18859587609767914","0.876441240310669"
"64","14","0.33","0.11","64","250","512","[128, 1024, 64, 512]","0.000327","0.5258271098136902","0.7494582533836365","0.146137997508049","0.865712583065033"
"512","12","0.19","0.22","64","250","64","[128, 256]","0.000936","0.5703222155570984","0.8700491189956665","0.13808482885360718","0.9327642321586609"
"128","20","0.33","0.18","128","250","256","[64, 256, 128]","0.000865","0.5323081612586975","0.7911804914474487","0.05437280982732773","0.8894832730293274"
"512","30","0.22","0.33","64","250","512","[512, 256, 64, 1024]","0.0005949999999999999","0.5632216930389404","0.8681641817092896","0.11307790875434875","0.9317532777786255"
"64","13","0.03","0.08","256","250","64","[1024]","0.00046899999999999996","0.5300561189651489","0.759691596031189","0.08376982063055038","0.8716028928756714"
"512","13","0.25","0.03","128","250","32","[512, 128]","9.8e-05","0.5672212243080139","0.8665188550949097","0.1224522665143013","0.9308699369430542"
"256","19","0.45","0.42","128","250","512","[512, 1024, 128]","0.0009299999999999999","0.5356153845787048","0.7345786094665527","0.023177945986390114","0.8570756316184998"
"512","60","0.48","0.27","64","250","256","[512, 64, 1024, 128]","0.000709","0.585749626159668","0.8907589316368103","0.0989220067858696","0.9438002705574036"
"256","10","0.15","0.13","64","250","256","[256]","0.00023799999999999998","0.5257942080497742","0.7224400043487549","0.13689248263835907","0.8499646782875061"
"64","11","0.12","0.24","64","250","32","[64, 512]","0.0008179999999999999","0.5517395734786987","0.7592307329177856","0.09584759175777435","0.8713384866714478"
"32","27","0.35000000000000003","0.08","64","250","512","[1024, 512, 128, 64]","0.000556","0.5098658204078674","0.7424216866493225","0.12853801250457764","0.8616389632225037"
"256","33","0.39","0.29","128","250","256","[512, 64, 128, 256]","0.000722","0.5629923939704895","0.7497954368591309","0.061924878507852554","0.8659073114395142"
"256","10","0.14","0.13","256","250","128","[256, 512]","0.000721","0.519697368144989","0.7422714829444885","0.058496613055467606","0.8615517616271973"
"512","31","0.39","0.45","128","250","512","[512, 64, 1024]","0.000516","0.5391250848770142","0.8857464790344238","0.15488286316394806","0.9411410689353943"
"64","14","0.4","0.12","256","250","512","[64, 512, 128, 256]","0.00025299999999999997","0.5715988874435425","0.7795135974884033","0.1041869968175888","0.8829006552696228"
"128","13","0.32","0.01","32","250","512","[128, 256, 1024]","0.000348","0.5311715602874756","0.7791727781295776","0.1293836534023285","0.8827076554298401"
"128","12","0.16","0.29","256","250","32","[1024, 512, 256]","0.0005409999999999999","0.5902121663093567","0.8323887586593628","0.06529159098863602","0.9123533964157104"
"32","38","0.44","0.37","256","250","512","[1024, 128]","0.000948","0.544887125492096","0.7555673122406006","0.08757723867893219","0.8692337274551392"
"512","22","0.11","0.11","128","250","512","[512]","0.000914","0.5464392900466919","0.8873500823974609","0.11206968128681183","0.9419926404953003"
"128","4","0.25","0.39","512","250","128","[512]","0.00019999999999999998","0.5398783087730408","0.7760925889015198","0.14557266235351562","0.8809611797332764"
"64","6","0.39","0.11","32","250","128","[1024]","0.000288","0.5477644205093384","0.7438476085662842","0.15924063324928284","0.8624659776687622"
"64","8","0.26","0.34","128","250","256","[128, 512]","0.000136","0.5420615077018738","0.7441533207893372","0.15989618003368378","0.8626432418823242"
"512","11","0.16","0.37","32","250","32","[256, 1024, 512, 128]","5.9e-05","0.5752751231193542","0.8737972974777222","0.05750241130590439","0.9347712397575378"
"64","5","0.4","0.4","256","250","128","[256, 128]","0.00022799999999999999","0.5390043258666992","0.745543897151947","0.15725500881671906","0.8634488582611084"
